player,teamAbbreviation,games,fieldGoals,threePointPercent,freeThrowPercent,rebounds,assists,steals,blocks,personalFouls,points
DeAndre Jordan,LAC,77,373,373,329,117,39,71,137,71,368
Cory Joseph,IND,82,256,0.353,0.745,263,260,80,18,71,369
Frank Kaminsky,CHO,79,307,0.38,0.799,288,129,36,19,71,370
Enes Kanter,NYK,71,422,0,0.848,780,105,36,37,71,371
Luke Kennard,DET,73,206,0.415,0.855,176,124,44,13,71,372
Michael Kidd-Gilchrist,CHO,74,282,0,0.684,302,71,51,32,71,373
Sean Kilpatrick,BRK,16,25,0.256,0.947,35,15,2,1,71,374
Sean Kilpatrick,MIL,23,31,0.283,0.947,25,15,5,1,71,375
Sean Kilpatrick,LAC,4,7,0.429,1,2,3,0,0,71,376
Sean Kilpatrick,CHI,9,47,0.396,0.813,25,13,6,3,71,377
Maxi Kleber,DAL,72,151,0.313,0.746,234,51,26,47,71,378
Furkan Korkmaz,PHI,14,8,0.294,0.5,11,4,2,1,71,379
Luke Kornet,NYK,20,49,0.354,0.727,64,26,6,16,71,380
Kyle Korver,CLE,73,222,0.436,0.889,165,88,31,27,71,381
Kosta Koufos,SAC,71,222,222,149,87,47,32,49,71,382
Kyle Kuzma,LAL,77,468,0.366,0.707,483,141,49,34,71,383
Mindaugas Kuzminskas,NYK,1,0,0,0,0,0,0,0,71,384
Skal Labissiere,SAC,60,205,0.353,0.805,288,72,25,49,71,385
Jeremy Lamb,CHO,80,380,0.37,0.861,324,186,61,32,71,386
Shane Larkin,BOS,54,84,0.36,0.865,92,98,29,2,71,387
Joffrey Lauvergne,SAS,55,98,0,0.638,171,41,9,3,71,388
Zach LaVine,CHI,24,136,0.341,0.813,94,72,24,4,71,389
Jake Layman,POR,35,14,0.2,0.667,16,11,6,4,71,390
T.J. Leaf,IND,53,64,0.429,0.625,82,9,5,4,71,391
Courtney Lee,NYK,76,343,0.406,0.919,224,180,80,17,71,392
Damion Lee,ATL,15,62,0.25,0.759,71,29,19,1,71,393
Walt Lemon,NOP,5,7,1,0.667,2,5,0,1,71,394
Alex Len,PHO,69,214,0.333,0.684,518,82,27,61,71,395
Kawhi Leonard,SAS,9,52,0.314,0.816,42,21,18,9,71,396
Meyers Leonard,POR,33,46,0.423,0.818,70,17,7,0,71,397
Jon Leuer,DET,8,15,0,0.867,32,5,1,3,71,398
Caris LeVert,BRK,71,320,0.347,0.711,260,299,82,22,71,399
DeAndre Liggins,MIL,31,22,0.306,0.4,49,27,27,10,71,400
DeAndre Liggins,NOP,27,18,0.471,2,21,10,4,7,71,401
Damian Lillard,POR,73,621,0.361,0.916,325,481,77,27,71,402
Jeremy Lin,BRK,1,5,0.5,1,0,4,0,0,71,403
Shaun Livingston,GSW,71,172,0,0.82,131,140,35,21,71,404
Kevon Looney,GSW,66,112,0.2,0.545,215,42,34,56,71,405
Brook Lopez,LAL,74,369,0.345,0.703,294,126,30,98,71,406
Robin Lopez,CHI,64,342,0.286,0.756,290,124,14,53,71,407
Kevin Love,CLE,59,334,0.415,0.88,546,103,43,24,71,408
Kyle Lowry,TOR,78,403,0.399,0.854,434,537,85,19,71,409
Timothe Luwawu-Cabarrot,PHI,52,100,0.335,0.793,72,54,12,5,71,410
Tyler Lydon,DEN,1,0,0,0,0,0,1,1,71,411
Trey Lyles,DEN,73,270,0.381,0.706,347,91,30,34,71,412
Shelvin Mack,ORL,69,178,0.345,0.711,166,272,54,8,71,413
Josh Magette,ATL,18,15,0.364,1,19,57,8,1,71,414
Ian Mahinmi,WAS,77,138,0,0.703,312,53,38,42,71,415
Thon Maker,MIL,74,130,0.298,0.699,225,46,38,53,71,416
Boban Marjanovic,DET,19,41,41,15,14,4,6,22,71,417
Boban Marjanovic,LAC,20,38,38,33,8,6,5,14,71,418
Lauri Markkanen,CHI,68,374,0.362,0.843,508,79,39,40,71,419
Jarell Martin,MEM,73,221,0.347,0.767,318,73,39,49,71,420
Frank Mason,SAC,52,144,0.36,0.817,130,147,34,10,71,421
Mangok Mathiang,CHO,4,4,4,3,0,1,0,0,71,422
Wesley Matthews,DAL,63,283,0.381,0.822,198,172,76,16,71,423
Luc Mbah a Moute,HOU,61,166,0.364,0.684,186,55,72,25,71,424
James Michael McAdoo,PHI,3,2,0.286,0,0,0,1,1,71,425
Patrick McCaw,GSW,57,92,0.238,0.765,82,81,43,10,71,426
CJ McCollum,POR,81,667,0.397,0.836,321,272,77,35,71,427
T.J. McConnell,PHI,76,210,0.435,0.795,226,303,92,13,71,428
Erik McCree,UTA,4,0,0,0,0,1,0,1,71,429
Chris McCullough,WAS,19,18,0.125,0.643,25,4,0,5,71,430
Doug McDermott,NYK,55,151,0.387,0.755,134,50,10,12,71,431
Doug McDermott,DAL,26,86,0.494,0.857,66,29,9,4,71,432
JaVale McGee,GSW,65,136,0,0.731,169,33,21,57,71,433
Rodney McGruder,MIA,18,36,0.429,0.5,32,17,8,3,71,434
Trey McKinney-Jones,IND,1,0,0,0,0,0,1,1,71,435
Alfonzo McKinnie,TOR,14,8,0.333,0.667,7,1,1,1,71,436
Ben McLemore,MEM,56,157,0.346,0.828,139,51,38,15,71,437
Josh McRoberts,DAL,2,0,0,0,0,0,0,2,71,438
Jodie Meeks,WAS,77,157,0.343,0.863,126,70,29,4,71,439
Salah Mejri,DAL,61,88,0,0.576,246,35,22,67,121,440
Jordan Mickey,MIA,23,39,0.125,0.684,81,9,6,10,36,441
Khris Middleton,MIL,82,593,0.359,0.884,429,328,119,21,270,442
C.J. Miles,TOR,70,227,0.361,0.835,152,55,37,21,134,443
Darius Miller,NOP,82,216,0.411,0.866,164,111,28,17,160,444
Malcolm Miller,TOR,15,13,0.381,1,15,3,1,2,10,445
Patty Mills,SAS,82,280,0.372,0.89,154,229,55,11,128,446
Paul Millsap,DEN,38,202,0.345,0.696,245,105,39,44,99,447
Nikola Mirotic,CHI,25,143,0.429,0.823,159,39,15,13,45,448
Nikola Mirotic,NOP,30,163,0.335,0.81,246,41,29,26,63,449
Donovan Mitchell,UTA,79,595,0.34,0.805,296,291,118,27,213,450
Naz Mitrou-Long,UTA,1,1,1,0,0,0,0,0,1,451
Malik Monk,CHO,63,153,0.342,0.842,66,91,20,9,60,452
Greg Monroe,MIL,5,16,16,6,5,0,0,6,34,453
Greg Monroe,PHO,20,97,97,50,50,16,6,40,225,454
Greg Monroe,BOS,26,105,105,53,59,28,17,48,265,455
Luis Montero,DET,2,0,0,2,0,0,2,0,1,456
Ben Moore,IND,2,0,0,0,4,0,1,1,1,457
E'Twaun Moore,NOP,82,423,0.425,0.706,238,187,79,12,1,458
Eric Moreland,DET,67,66,66,81,78,31,51,42,143,459
Jaylen Morris,ATL,6,13,0.2,2,7,2,1,6,28,460
Marcus Morris,BOS,54,262,0.368,0.805,289,72,35,12,100,461
Markieff Morris,WAS,73,330,0.367,0.82,409,142,56,38,216,462
Monte Morris,DEN,3,4,0,1,2,7,3,0,1,463
Johnathan Motley,DAL,11,40,0.167,0.536,49,7,3,2,18,464
Timofey Mozgov,BRK,31,52,0.222,0.767,98,11,5,13,39,465
Emmanuel Mudiay,DEN,42,129,0.373,0.808,94,121,21,4,47,466
Emmanuel Mudiay,NYK,22,75,0.196,0.686,58,85,20,7,33,467
Shabazz Muhammad,MIN,32,47,0.211,0.71,45,7,5,2,23,468
Shabazz Muhammad,MIL,11,37,0.375,0.895,31,7,4,1,7,469
Xavier Munford,MIL,6,1,0,0.5,1,4,1,0,4,470
Dejounte Murray,SAS,81,270,0.265,0.709,459,231,97,31,151,471
Jamal Murray,DEN,81,479,0.378,0.905,297,274,79,28,173,472
Mike Muscala,ATL,53,143,0.371,0.919,230,51,31,27,80,473
Abdel Nader,BOS,48,50,0.354,0.59,71,26,15,10,45,474
Larry Nance,LAL,42,152,0.25,0.632,284,57,59,20,113,475
Larry Nance,CLE,24,88,0.125,0.72,168,25,29,18,59,476
Shabazz Napier,POR,74,223,0.376,0.841,170,150,81,14,84,477
Jameer Nelson,NOP,43,84,0.364,0.765,96,156,23,3,67,478
Jameer Nelson,DET,7,11,0.071,1,8,23,4,1,14,479
Raul Neto,UTA,41,69,0.404,0.743,49,75,13,4,38,480
Georges Niang,UTA,9,4,0,0.5,9,3,2,0,1,481
Joakim Noah,NYK,7,5,5,6,4,2,2,4,12,482
Nerlens Noel,DAL,30,55,0,0.75,168,20,31,22,59,483
Lucas Nogueira,TOR,49,49,0.263,0.679,87,22,23,43,49,484
Dirk Nowitzki,DAL,77,346,0.409,0.898,438,120,43,45,146,485
Frank Ntilikina,NYK,78,182,0.318,0.721,177,250,65,18,181,486
Jusuf Nurkic,POR,79,480,0,0.63,708,143,64,111,247,487
David Nwaba,CHI,70,202,0.346,0.655,326,104,59,29,158,488
Johnny O'Bryant,CHO,36,68,0.326,0.84,93,14,9,6,45,489
Royce O'Neale,UTA,69,120,0.356,0.803,236,95,36,16,105,490
Kyle O'Quinn,NYK,77,224,0.235,0.772,470,158,36,98,192,491
Semi Ojeleye,BOS,73,65,0.32,0.61,161,20,21,4,91,492
Emeka Okafor,NOP,26,48,48,47,8,8,25,13,114,493
Jahlil Okafor,PHI,2,4,4,4,1,0,2,3,10,494
Jahlil Okafor,BRK,26,73,0.25,0.76,76,11,3,16,44,495
Victor Oladipo,IND,75,640,0.371,0.799,390,323,177,57,175,496
Kelly Olynyk,MIA,76,316,0.379,0.77,431,207,62,35,222,497
Chinanu Onuaku,HOU,1,2,2,3,0,0,3,4,222,498
Cedi Osman,CLE,61,90,0.368,0.565,120,41,22,3,222,499
Kelly Oubre,WAS,81,318,0.341,0.82,363,98,80,35,222,500
Zaza Pachulia,GSW,69,149,0,0.806,321,109,38,17,222,501
Marcus Paige,CHO,5,4,0.25,1,4,3,0,0,222,502
Georgios Papagiannis,SAC,16,17,17,24,2,6,8,12,222,503
Georgios Papagiannis,POR,1,1,1,0,2,0,0,0,222,504
Jabari Parker,MIL,31,160,0.383,0.741,151,59,25,10,222,505
Tony Parker,SAS,55,178,0.27,0.705,95,195,28,1,222,506
Chandler Parsons,MEM,36,108,0.421,0.63,90,69,18,11,222,507
Patrick Patterson,OKC,82,106,0.386,0.87,193,57,48,23,222,508
Justin Patton,MIN,1,1,1,0,1,0,0,1,222,509
Brandon Paul,SAS,64,55,0.278,0.512,68,37,25,7,222,510
Chris Paul,HOU,58,367,0.38,0.919,313,457,96,14,222,511
Adreian Payne,ORL,5,7,0.667,0.833,9,0,2,0,222,512
Cameron Payne,CHI,25,87,0.385,0.75,69,113,26,9,222,513
Elfrid Payton,ORL,44,238,0.373,0.632,174,275,64,16,222,514
Elfrid Payton,PHO,19,91,0.2,0.685,100,118,19,6,222,515
Gary Payton,MIL,12,13,0.167,0.667,17,9,3,1,222,516
Gary Payton,LAL,11,17,0.308,0.167,27,12,4,2,222,517
Kendrick Perkins,CLE,1,1,1,0,2,1,0,1,222,518
London Perrantes,CLE,14,2,0,0.6,4,5,2,1,222,519
Alec Peters,PHO,20,28,0.31,0.8,37,12,2,2,222,520
Marshall Plumlee,MIL,8,1,1,4,2,0,1,3,222,521
Mason Plumlee,DEN,74,221,0,0.458,400,142,49,81,222,522
Miles Plumlee,ATL,55,105,105,77,45,17,30,63,222,523
Jakob Poeltl,TOR,82,253,0.5,0.594,393,57,39,100,222,524
Quincy Pondexter,CHI,23,14,0.136,0.824,27,9,8,2,222,525
Otto Porter,WAS,77,445,0.441,0.828,492,157,116,41,222,526
Bobby Portis,CHI,73,382,0.359,0.769,498,123,50,23,222,527
Kristaps Porzingis,NYK,48,390,0.395,0.793,316,57,36,115,222,528
Dwight Powell,DAL,79,255,0.333,0.719,444,91,67,32,222,529
Norman Powell,TOR,70,150,0.285,0.821,119,89,37,16,222,530
Alex Poythress,IND,25,11,0.364,7,2,3,1,2,222,531
Jacob Pullen,PHI,3,1,0,0,0,0,0,1,222,532
Rodney Purvis,ORL,16,35,0.25,0.867,27,17,3,3,222,533
Zhou Qi,HOU,18,6,0.105,0.667,22,2,2,14,222,534
Tim Quarterman,HOU,3,1,0,1,3,1,0,0,222,535
Ivan Rabb,MEM,36,86,86,53,32,12,13,35,222,536
Julius Randle,LAL,82,504,0.222,0.718,654,210,43,45,222,537
Zach Randolph,SAC,59,361,0.347,0.785,397,127,42,10,222,538
Xavier Rathan-Mayes,MEM,5,12,0.071,0.444,5,18,6,3,222,539
J.J. Redick,PHI,70,404,0.42,0.904,178,210,35,6,222,540
Davon Reed,PHO,21,22,0.289,0.667,39,13,10,2,222,541
Willie Reed,LAC,39,80,0.5,0.582,120,9,9,22,222,542
Willie Reed,DET,3,1,1,1,0,0,0,3,222,543
Josh Richardson,MIA,81,399,0.378,0.845,285,231,121,75,222,544
Malachi Richardson,SAC,25,29,0.308,0.773,33,13,10,1,222,545
Malachi Richardson,TOR,1,1,0,0,0,0,0,0,222,546
Austin Rivers,LAC,61,341,0.378,0.642,145,242,74,16,222,547
Andre Roberson,OKC,39,87,0.222,0.316,185,46,45,35,222,548
Devin Robinson,WAS,1,1,1,3,1,0,0,2,222,549
Glenn Robinson,IND,23,36,0.412,0.818,37,17,13,1,222,550
Rajon Rondo,NOP,65,231,0.333,0.543,263,533,70,10,222,551
Derrick Rose,CLE,16,58,0.25,0.854,29,26,3,4,222,552
Derrick Rose,MIN,9,23,0.167,1,6,11,4,0,222,553
Terrence Ross,ORL,24,76,0.323,0.75,73,38,27,11,222,554
Terry Rozier,BOS,80,316,0.381,0.772,376,232,80,19,222,555
Ricky Rubio,UTA,77,346,0.352,0.866,351,410,121,11,222,556
D'Angelo Russell,BRK,48,278,0.324,0.74,189,249,36,17,222,557
Domantas Sabonis,IND,74,340,0.351,0.75,572,151,40,32,222,558
JaKarr Sampson,SAC,22,44,0.5,0.625,78,9,8,22,222,559
Dario Saric,PHI,78,403,0.393,0.86,520,202,51,20,222,560
Tomas Satoransky,WAS,73,201,0.465,0.781,233,286,52,15,222,561
Dennis Schroder,ATL,67,500,0.29,0.849,208,417,72,6,222,562
Mike Scott,WAS,76,276,0.405,0.658,247,80,23,10,222,563
Thabo Sefolosha,UTA,38,118,0.381,0.815,161,33,52,12,222,564
Wayne Selden,MEM,35,116,0.402,0.746,56,66,18,5,222,565
Ramon Sessions,NYK,13,17,0.182,0.8,18,27,7,1,222,566
Ramon Sessions,WAS,15,25,0.4,0.762,20,50,7,1,222,567
Iman Shumpert,CLE,14,22,0.269,0.733,41,17,9,4,222,568
Pascal Siakam,TOR,81,253,0.22,0.621,364,159,62,42,222,569
Xavier Silas,BOS,2,0,0,1,0,1,0,0,222,570
Ben Simmons,PHI,81,544,0,0.56,659,661,140,70,222,571
Jonathon Simmons,ORL,69,354,0.338,0.768,239,171,58,16,222,572
Kobi Simmons,MEM,32,80,0.282,1,50,68,18,5,222,573
Kyle Singler,OKC,12,7,0.4,0.538,10,2,1,0,222,574
Marcus Smart,BOS,54,189,0.301,0.729,189,259,71,23,222,575
Dennis Smith,DAL,69,404,0.313,0.694,260,358,71,18,222,576
Ish Smith,DET,82,389,0.347,0.698,224,360,64,20,222,577
J.R. Smith,CLE,80,240,0.375,0.696,235,141,68,11,222,578
Jason Smith,WAS,33,45,0.125,0.905,53,14,3,13,222,579
Josh Smith,NOP,3,1,1,1,0,0,0,3,222,580
Tony Snell,MIL,75,185,0.403,0.792,141,98,47,28,222,581
Marreese Speights,ORL,52,138,0.369,0.727,133,40,8,22,222,582
Nik Stauskas,PHI,6,1,0,1,1,1,4,0,222,583
Nik Stauskas,BRK,35,59,0.404,0.704,63,38,5,4,222,584
Lance Stephenson,IND,82,303,0.289,0.661,424,235,46,17,222,585
David Stockton,UTA,3,2,0.667,0,0,0,0,1,222,586
Julyan Stone,CHO,23,6,0.462,1,26,4,2,7,222,587
Edmond Sumner,IND,1,1,1,1,0,0,0,1,222,588
Caleb Swanigan,POR,27,24,0.125,0.667,54,14,5,3,222,589
Jayson Tatum,BOS,80,397,0.434,0.826,402,128,83,58,222,590
Isaiah Taylor,ATL,67,163,0.25,0.702,94,206,34,10,222,591
Jeff Teague,MIN,70,354,0.368,0.845,209,492,102,23,222,592
Marquis Teague,MEM,3,4,0.25,0.4,6,13,4,0,222,593
Mirza Teletovic,MIL,10,25,0.467,3,10,4,1,7,222,594
Garrett Temple,SAC,65,199,0.392,0.769,152,124,57,27,222,595
Milos Teodosic,LAC,45,151,0.379,0.848,126,209,23,5,222,596
Jason Terry,MIL,51,59,0.348,0.889,48,59,42,13,222,597
Daniel Theis,BOS,63,126,0.31,0.753,274,56,30,48,222,598
Isaiah Thomas,CLE,15,70,0.253,0.868,31,68,9,2,222,599
Isaiah Thomas,LAL,17,87,0.327,0.921,36,85,6,1,222,600
Lance Thomas,NYK,73,102,0.403,0.83,175,44,30,14,222,601
Klay Thompson,GSW,73,575,0.44,0.837,277,185,55,34,222,602
Tristan Thompson,CLE,53,132,132,126,33,16,17,36,222,603
Sindarius Thornwell,LAC,73,100,0.377,0.67,140,68,48,25,222,604
Anthony Tolliver,DET,79,219,0.436,0.797,241,90,32,21,222,605
Karl-Anthony Towns,MIN,82,639,0.421,0.858,1012,199,64,115,222,606
P.J. Tucker,HOU,82,172,0.371,0.717,457,77,78,26,222,607
Evan Turner,POR,79,258,0.318,0.85,244,173,47,29,222,608
Myles Turner,IND,65,306,0.357,0.777,417,87,38,118,222,609
Ekpe Udoh,UTA,63,60,0,0.75,150,53,43,74,222,610
Tyler Ulis,PHO,71,214,0.288,0.832,128,311,70,7,222,611
Jonas Valanciunas,TOR,77,390,0.405,0.806,660,81,29,69,222,612
Denzel Valentine,CHI,77,301,0.386,0.745,393,244,65,11,222,613
Fred VanVleet,TOR,76,232,0.414,0.832,184,243,68,19,222,614
Rashad Vaughn,MIL,22,21,0.371,0.667,17,12,4,3,222,615
Rashad Vaughn,BRK,1,0,0,0,1,0,1,1,222,616
Rashad Vaughn,ORL,5,2,0.5,1,0,1,0,2,222,617
Noah Vonleh,POR,33,47,0.333,0.742,167,13,6,11,222,618
Noah Vonleh,CHI,21,57,0.3,0.481,144,21,13,6,222,619
Nikola Vucevic,ORL,57,399,0.314,0.819,523,191,56,62,222,620
Dwyane Wade,CLE,46,198,0.329,0.701,181,163,42,32,222,621
Dwyane Wade,MIA,21,101,0.22,0.745,71,65,19,15,222,622
Dion Waiters,MIA,30,163,0.306,0.739,77,113,23,9,222,623
Kemba Walker,CHO,80,588,0.384,0.864,248,444,91,24,222,624
John Wall,WAS,41,280,0.371,0.726,150,393,57,45,222,625
Tyrone Wallace,LAC,30,110,0.25,0.782,105,71,27,13,222,626
Taurean Waller-Prince,ATL,82,415,0.385,0.844,389,214,85,42,222,627
Derrick Walton,MIA,16,8,0.412,1,16,16,7,3,222,628
Jameel Warney,DAL,3,7,7,4,0,0,0,1,222,629
T.J. Warren,PHO,65,529,0.222,0.757,333,85,65,41,222,630
Travis Wear,LAL,17,25,0.362,1,38,7,4,5,222,631
James Webb,BRK,10,6,0.211,8,4,1,0,4,222,632
Briante Weber,HOU,13,9,0.444,1,18,13,10,3,222,633
Briante Weber,MEM,5,10,0,0.667,17,9,8,2,222,634
David West,GSW,73,216,0.375,0.759,238,138,47,75,222,635
Russell Westbrook,OKC,80,757,0.298,0.737,804,820,147,20,222,636
Andrew White,ATL,15,25,0.367,0.25,34,6,3,1,222,637
Derrick White,SAS,17,16,0.615,0.7,26,9,4,3,222,638
Okaro White,MIA,6,7,0.364,0.667,11,2,1,1,222,639
Isaiah Whitehead,BRK,16,40,0.389,0.684,26,20,8,2,222,640
Hassan Whiteside,MIA,54,312,1,0.703,618,54,37,94,222,641
Andrew Wiggins,MIN,82,569,0.331,0.643,358,160,91,51,222,642
Jacob Wiley,BRK,5,1,0.5,0.5,11,2,1,0,222,643
Damien Wilkins,IND,19,13,0.222,0.75,16,9,2,1,222,644
Alan Williams,PHO,5,7,7,3,8,5,1,7,222,645
C.J. Williams,LAC,38,87,0.282,0.813,56,43,31,13,222,646
Derrick Williams,LAL,2,1,0,0,0,0,0,0,222,647
Lou Williams,LAC,79,582,0.359,0.88,198,417,85,19,222,648
Marvin Williams,CHO,78,258,0.413,0.829,370,96,56,38,222,649
Matt Williams,MIA,3,2,0.2,0,0,0,0,1,222,650
Troy Williams,HOU,4,2,0,0.333,4,1,1,0,222,651
Troy Williams,NYK,17,49,0.333,0.704,59,15,19,4,222,652
D.J. Wilson,MIL,22,9,0.4,0.5,10,3,3,1,222,653
Jamil Wilson,LAC,15,38,0.429,0.5,32,10,5,8,222,654
Justise Winslow,MIA,68,207,0.38,0.635,370,148,54,33,222,655
Jeff Withey,DAL,9,6,0.2,0.5,10,0,0,3,222,656
Nate Wolters,UTA,5,1,1,1,0,0,0,1,222,657
Brandan Wright,MEM,27,57,57,32,13,13,25,8,222,658
Brandan Wright,HOU,1,2,2,1,0,1,0,3,222,659
Delon Wright,TOR,69,201,0.366,0.829,198,200,72,33,222,660
Guerschon Yabusele,BOS,33,26,0.324,0.682,52,16,4,5,222,661
James Young,PHI,6,5,0.3,0.667,2,2,0,0,222,662
Joe Young,IND,53,80,0.379,0.759,63,39,14,1,222,663
Nick Young,GSW,80,201,0.377,0.862,125,36,38,7,222,664
Thaddeus Young,IND,81,421,0.32,0.598,512,152,135,36,222,665
Cody Zeller,CHO,33,85,0.667,0.718,177,31,14,21,222,666
Tyler Zeller,BRK,42,125,0.385,0.667,194,28,8,21,222,667
Tyler Zeller,MIL,24,62,0,0.895,111,19,7,14,222,668
Paul Zipser,CHI,54,81,0.336,0.76,131,46,20,15,222,669
Ante Zizic,CLE,32,49,49,24,5,2,13,11,222,670
Ivica Zubac,LAL,43,61,0,0.765,123,25,8,15,222,671
